date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:56	214566/214566	---MCZ	200	added ('OK')	text/html	etag:W/%226225b89a-34626%22	https://html.cwsthemes.com/liami/index.html	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/index.html	(from )
15:25:56	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2011%20Mar%202025%2008:25:56%20GMT	https://html.cwsthemes.com/robots.txt		(from )
15:25:57	435/435	---M--	200	added ('OK')	image/png	etag:%226225b89a-1b3%22	https://html.cwsthemes.com/liami/assets/images/favicon.png	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/images/favicon.png	(from https://html.cwsthemes.com/liami/index.html)
15:25:57	83981/83981	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-1480d%22	https://html.cwsthemes.com/liami/assets/css/all.min.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/all.min.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:57	24635/24635	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-603b%22	https://html.cwsthemes.com/liami/assets/css/uicons-regular-rounded.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/uicons-regular-rounded.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:58	58139/58139	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-e31b%22	https://html.cwsthemes.com/liami/assets/css/animate.min.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/animate.min.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:58	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-705d%22	https://html.cwsthemes.com/liami/assets/css/aos.min.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/aos.min.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:58	163878/163878	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-28026%22	https://html.cwsthemes.com/liami/assets/css/bootstrap.min.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/bootstrap.min.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:58	15699/15699	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-3d53%22	https://html.cwsthemes.com/liami/assets/css/jquery.fancybox.min.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/jquery.fancybox.min.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:58	444/444	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-1bc%22	https://html.cwsthemes.com/liami/assets/css/jquery.bootstrap-touchspin.min.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/jquery.bootstrap-touchspin.min.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:59	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-a26%22	https://html.cwsthemes.com/liami/assets/css/perfect-scrollbar.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/perfect-scrollbar.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:59	1736/1736	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-6c8%22	https://html.cwsthemes.com/liami/assets/css/slick.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/slick.css	(from https://html.cwsthemes.com/liami/index.html)
15:25:59	116302/116302	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-1c64e%22	https://html.cwsthemes.com/liami/assets/css/style.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/style.css	(from https://html.cwsthemes.com/liami/index.html)
15:26:00	22407/22407	---MCZ	200	added ('OK')	text/css	etag:W/%226225b89a-5787%22	https://html.cwsthemes.com/liami/assets/css/responsive.css	C:/Users/adela04/Desktop/TN_APTECH_2025/duan/liami_html/liami_html/html.cwsthemes.com/liami/assets/css/responsive.css	(from https://html.cwsthemes.com/liami/index.html)
